restaurant_name,avg_sentiment,sentiment_category,top_keywords
Mademoiselle Paris - French restaurant & Bakery,0.990084863844372,Positive,"gulfport, mademoiselle paris, gulfport food, restaurant, paris gulfport"
Keylime Bistro,0.9856657187143961,Positive,"place craig, wonderful place, craig customer, craig, place"
The Eagle's Nest Restaurant,0.9846146702766418,Positive,"steak sandwich, cheese steak, bartender, philly cheese, sandwich meals"
Harold's,0.9788007651056562,Positive,"chefs wanting, chefs, dan chefs, add stars, meal industry"
Bleu Rendezvous French Bistro,0.971006453037262,Positive,"french restaurant, prefix dinner, meal, meal steak, dinner"
La Ola Surfside Restaurant at Bell Tower,0.9701849222183228,Positive,"pumpkin spice, spice martini, martini autumn, berry mojito, restaurant bell"
Seoul Korean Restaurant,0.9685827121138573,Positive,"korean fried, food amazing, great food, great, food"
Buzz's Lighthouse Restaurant,0.9627707302570343,Positive,"naples charm, icon naples, naples history, naples, old naples"
Indian Breeze Cape Coral - Indian Restaurant,0.9584957604055051,Positive,"indian food, indian, indian cuisine, best indian, food"
Cassis St. Pete,0.9577540480776837,Positive,"paula, alex, food, food amazing, paula amazing"
Rumrunners,0.9562037123574151,Positive,"jamie, robert, erica, server, erica fantastic"
Soluna Restaurant,0.9556405686196827,Positive,"naples, restaurant, food excellent, dining experiences, muy deliciosa"
Clear Sky on Cleveland,0.9549460079934862,Positive,"food, great food, bre, food excellent, service"
Little Bar Restaurant,0.9499010245005289,Positive,"crab reuben, service food, heather provided, reuben, food excellent"
Sails Restaurant,0.9475656747817993,Positive,"experience food, celebrated anniversary, tasting menu, service andrea, absolutely wonderful"
Wickies Lighthouse Restaurant,0.9472565441518217,Positive,"robin, dining, island, restaurant, food amazing"
Miggs Craft Kitchen,0.9451063540246751,Positive,"dining, service delicious, delicious food, excellent service, service"
Florida Cracker Cook Shack,0.9408523241678873,Positive,"brisket, cook shack, brisket sloppy, excellent service, lady counter"
Street Eatz & Ale,0.9392431378364563,Positive,"fish tacos, tacos delicious, tacos, delicious, delicious highly"
Angry Pepper,0.9305548816919327,Positive,"great food, food, casual place, comfortable place, place great"
Doodle Noodle Bar,0.9281865037404574,Positive,"noodles, service seren, seren seven, amazing, ramen"
Gramma Dot's Restaurant,0.9272938370704651,Positive,"shrimp, coconut shrimp, food service, service, food"
Class Azul Restaurant,0.9270656006549721,Positive,"mexican food, best mexican, darina, asli, food"
Doc Ford's Rum Bar & Grille,0.9265928626060486,Positive,"sanibel, sanibel island, meal, shrimp, flat bread"
Ford's Garage Cape Coral,0.9251016175971841,Positive,"amanda, service, ford garage, bri, great food"
Babushka's - Temple Terrace,0.9186567001872592,Positive,"food, good food, food excellent, excellent service, service"
Shiso Crispy,0.9163698434829712,Positive,"rice, bao buns, chicken, food truck, dirty rice"
The Hangar Restaurant & Flight Lounge,0.9155328031629324,Positive,"watching planes, planes, great food, food, awesome"
Mythos Authentic Greek Cuisine,0.9145660698413849,Positive,"restaurant, stranger servers, friendly eden, servers friendly, served eden"
The Brinehouse,0.912812854562487,Positive,"food service, great food, food great, great service, service friendly"
Heidi's German Restaurant,0.9119648896157742,Positive,"german food, authentic german, german, german restaurant, schnitzel"
Columbia Restaurant,0.9066986093918482,Positive,"restaurant, 1905 salad, tampa, columbia, salad"
Cubans Be Like Restaurant,0.9066737805619652,Positive,"yari, service, food, cuban, cuban food"
Sunflower Cafe,0.9057083666324616,Positive,"great food, breakfast, myers beach, spinach spaghetti, refused spaghetti"
Deep Lagoon Seafood and Oyster House,0.8989708175261816,Positive,"lagoons food, deep lagoons, lagoons, locations dining, dining area"
Lighthouse Restaurant & Bar,0.8956942955652872,Positive,"good, happy hour, good seafood, seafood, enjoy music"
La Ola Surfside Restaurant at Fort Myers Beach,0.8919113874435425,Positive,"great place, great fries, friendly bartender, fries super, fries"
SeaGuini - Opal Sands Resort,0.8917790055274963,Positive,"food amazing, wrapped asparagus, filet cooked, asparagus ot, asparagus"
Snug Harbor Waterfront Restaurant,0.8876580521464348,Positive,"food, wonderful lunch, lunch delicious, lunch, sisters enjoyed"
CALI,0.8870187724630038,Positive,"cali, tampa, diamond, food great, great food"
Mr. Dunderbak's Restaurant and Brewery,0.8695040374994278,Positive,"restaurant, german, food, german food, great"
Doc's Beach House,0.8691039979457855,Positive,"beach, tacos, bar, great location, parking"
The Waterfront Restaurant & Marina,0.8683775464693705,Positive,"sunset dinner, views sunset, dinner food, sunset, dinner"
AJI LIMON CEVICHE Y CARBON,0.8566541175047556,Positive,"en familia, ampliado una, buena comida, está muy, muy apropiado"
Cielo Restaurant,0.8547613024711609,Positive,"food server, hostess issue, hostess, people hostess, server attitude"
Outpost 611 Eatery & Taphouse,0.847115715344747,Positive,"wendy visited, wonderful dinner, owners wendy, experience lovely, dinner live"
Deep Lagoon,0.8240755438804627,Positive,"waitress nice, love waitress, waitress, nice friendly, friendly"
La Mordida Restaurant Bar & Grill,0.8123036256203284,Positive,"food, encantó, queso las, las empanadas, queso"
The Lighthouse Rooftop Restaurant and Bar,0.7807135730981827,Positive,"downtown, bartender secret, wing recipe, daytime bartender, bartender"
