restaurant_id,title,description,categoryName,address,phone,totalScore,categories,reviewsCount,reviewsDistribution,checkInDate,checkOutDate,full_address
3fc982cda9d9f6a0,La Mordida Restaurant Bar & Grill,A menu of classic Latin fare in a family-friendly space with large booth seating & festive decor.,Restaurant,"14100 US Hwy 19 N Suite 113-116, Clearwater, FL 33764",(727) 225-3394,4.4,"['Restaurant', 'Bakery', 'Colombian restaurant', 'Latin American restaurant', 'Peruvian restaurant', 'Seafood restaurant', 'Steak house']",3098,"{'oneStar': 211, 'twoStar': 100, 'threeStar': 166, 'fourStar': 417, 'fiveStar': 2204}",,,"14100 US Hwy 19 N Suite 113-116, Clearwater, Florida, 33764, US"
06060c3ce6b02ce8,Florida Cracker Cook Shack,,Restaurant,"511 S Broad St, Brooksville, FL 34601",(352) 796-9197,4.5,"['Restaurant', 'American restaurant', 'Barbecue restaurant', 'Chicken restaurant', 'Family restaurant', 'Floridian restaurant', 'Lunch restaurant', 'Soul food restaurant', 'Southern restaurant (US)']",772,"{'oneStar': 39, 'twoStar': 19, 'threeStar': 47, 'fourStar': 87, 'fiveStar': 580}",,,"511 S Broad St, Brooksville, Florida, 34601, US"
12cb84e8fbbc7b86,The Brinehouse,,American restaurant,"100 Main St Suite 104, Safety Harbor, FL 34695",(727) 600-8009,4.7,"['American restaurant', 'Bar', 'Bar & grill', 'Barbecue restaurant', 'Cafe', 'Gluten-free restaurant', 'Takeout Restaurant', 'Salad shop', 'Sandwich shop', 'Sports bar']",402,"{'oneStar': 8, 'twoStar': 9, 'threeStar': 8, 'fourStar': 53, 'fiveStar': 324}",,,"100 Main St Suite 104, Safety Harbor, Florida, 34695, US"
7c689614db2c9f73,The Lighthouse Rooftop Restaurant and Bar,,Restaurant,"1105 N Tampa St, Tampa, FL 33602",(813) 430-5100,4.4,['Restaurant'],5,"{'oneStar': 0, 'twoStar': 1, 'threeStar': 0, 'fourStar': 0, 'fiveStar': 4}",,,"1105 N Tampa St, Tampa, Florida, 33602, US"
bb643e1122694b7a,Cassis St. Pete,Buzzy brasserie & bakery for American & French fare in a Parisian space with outdoor seats.,American restaurant,"170 Beach Dr NE, St. Petersburg, FL 33701",(727) 827-2927,4.3,"['American restaurant', 'Bar', 'Breakfast restaurant', 'Coffee shop', 'Family restaurant', 'Pizza delivery', 'Pizza restaurant', 'Pizza Takeout', 'Restaurant']",2950,"{'oneStar': 170, 'twoStar': 120, 'threeStar': 200, 'fourStar': 513, 'fiveStar': 1947}",,,"170 Beach Dr NE, St. Petersburg, Florida, 33701, US"
08e6b9745e654600,SeaGuini - Opal Sands Resort,"Chic restaurant & lounge at Opal Sands resort with seafood, Italian-inspired cuisine & water views.",Seafood restaurant,"430 S Gulfview Blvd, Clearwater Beach, FL 33767",(727) 450-6236,4.6,"['Seafood restaurant', 'Breakfast restaurant', 'Fine dining restaurant', 'Italian restaurant', 'Lunch restaurant', 'Mediterranean restaurant', 'New American restaurant']",1528,"{'oneStar': 53, 'twoStar': 26, 'threeStar': 71, 'fourStar': 179, 'fiveStar': 1199}",,,"430 S Gulfview Blvd, Clearwater Beach, Florida, 33767, US"
9ac39ae4f0d9f78d,Mademoiselle Paris - French restaurant & Bakery,,French restaurant,"2937 Beach Blvd S, Gulfport, FL 33707",(727) 547-0367,5.0,"['French restaurant', 'Bakery', 'Bistro', 'Creperie', 'Fine dining restaurant']",25,"{'oneStar': 0, 'twoStar': 0, 'threeStar': 0, 'fourStar': 0, 'fiveStar': 25}",,,"2937 Beach Blvd S, Gulfport, Florida, 33707, US"
b87320bdc2a3af22,CALI,"Easygoing restaurant serving small plates, wraps & health-conscious bowls, plus weekend brunch.",Californian restaurant,"217 S Dale Mabry Hwy, Tampa, FL 33609",(813) 305-2473,4.7,"['Californian restaurant', 'American restaurant', 'Brunch restaurant', 'Gluten-free restaurant', 'Vegan restaurant', 'Vegetarian restaurant']",1350,"{'oneStar': 36, 'twoStar': 21, 'threeStar': 49, 'fourStar': 139, 'fiveStar': 1105}",,,"217 S Dale Mabry Hwy, Tampa, Florida, 33609, US"
720e283e051ba44e,Angry Pepper,"Waterside eatery serving BBQ, sandwiches, beer & wine in a laid-back, colorful atmosphere.",Restaurant,"4330 Duhme Rd #2809, Madeira Beach, FL 33708",(727) 391-0800,4.5,"['Restaurant', 'Grill', 'Bar', 'Bar & grill', 'Barbecue area', 'Hamburger restaurant', 'Mexican restaurant', 'Seafood restaurant', 'Tiki bar']",2453,"{'oneStar': 93, 'twoStar': 65, 'threeStar': 154, 'fourStar': 473, 'fiveStar': 1668}",,,"4330 Duhme Rd #2809, Madeira Beach, Florida, 33708, US"
b32bcc8c68269c3c,Outpost 611 Eatery & Taphouse,,Bar & grill,"2454 McMullen Booth Rd STE 103, Clearwater, FL 33759",(727) 223-3224,4.6,"['Bar & grill', 'American restaurant', 'Caterer', 'Chocolate shop', 'Dessert shop', 'Family restaurant', 'Hamburger restaurant', 'Sandwich shop', 'Vegetarian restaurant']",578,"{'oneStar': 18, 'twoStar': 9, 'threeStar': 30, 'fourStar': 45, 'fiveStar': 476}",,,"2454 McMullen Booth Rd STE 103, Clearwater, Florida, 33759, US"
